IdProduto,NomeProduto,Marca,Classe
758,Contoso Connectivity Starter Kit Smart Buy M680 Black,Contoso,Regular
763,Contoso Digital camera accessory kit M200 Black,Contoso,Regular
775,Contoso Smart Battery M901 Blue,Contoso,Regular
776,Contoso Digital Camera Accessory kit M200 Blue,Contoso,Regular
780,Contoso Car power adapter M90 White,Contoso,Regular
781,Contoso Notebook Peripheral Kit M69 White,Contoso,Regular
784,Contoso Laptop Starter Bundle M200 White,Contoso,Regular
785,Contoso Education Essentials Bundle M300 White,Contoso,Regular
788,Contoso Smart Battery M901 White,Contoso,Regular
791,Contoso USB 2.0 Dock Station docking station M800 White,Contoso,Regular
792,Contoso Enhanced Capacity Battery M800 White,Contoso,Regular
793,Contoso Connectivity Starter Kit Smart Buy M680 White,Contoso,Regular
798,Contoso Digital camera accessory kit M200 White,Contoso,Regular
810,Contoso Car power adapter M90 Grey,Contoso,Regular
811,Contoso Notebook Peripheral Kit M69 Grey,Contoso,Regular
814,Contoso Laptop Starter Bundle M200 Grey,Contoso,Regular
815,Contoso Education Essentials Bundle M300 Grey,Contoso,Regular
818,Contoso Smart Battery M901 Grey,Contoso,Regular
821,Contoso USB 2.0 Dock Station docking station M800 Grey,Contoso,Regular
822,Contoso Enhanced Capacity Battery M800 Grey,Contoso,Regular
823,Contoso Connectivity Starter Kit Smart Buy M680 Grey,Contoso,Regular
828,Contoso Digital camera accessory kit M200 Grey,Contoso,Regular
839,Contoso USB Wave Multi-Media Keyboard M901 Gold,Contoso,Regular
840,Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub M200 Gold,Contoso,Regular
743,Contoso Rechargeable Battery E100 Black,Contoso,Economy
744,Contoso Dual USB Power Adapter - power adapter E300 Black,Contoso,Economy
747,Contoso Mouse Lock Bundle E200 Black,Contoso,Economy
748,Contoso Education Supplies Bundle E200 Black,Contoso,Economy
751,Contoso Desktop Alternative Bundle E200 Black,Contoso,Economy
752,Contoso Power Inverter - DC to AC power inverter E900 Black,Contoso,Economy
754,Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 Black,Contoso,Economy
755,Contoso Home/Office Laptop Power Adapter E300 Black,Contoso,Economy
759,Contoso 90W AC/DC Power Adapter E300 Black,Contoso,Economy
760,Contoso Reserve Pen - Tablet Pen E200 Black,Contoso,Economy
761,Contoso USB Data Link-direct connect adapter E600 Black,Contoso,Economy
762,Contoso Primary Extended Capacity Battery Pack - notebook battery X100 Black,Contoso,Deluxe
764,Contoso Leather Case - case for digital photo camera X20 Black,Contoso,Deluxe
765,Contoso Lens cap E80 Black,Contoso,Economy
766,Contoso Battery charger - bike E200 Black,Contoso,Economy
767,Contoso USB Optical Mouse E200 Black,Contoso,Economy
768,Contoso ADSL Modem Splitter/Filter X 1 E100 Black,Contoso,Economy
769,Contoso ADSL Modem Splitter/Filter X 2 E200 Black,Contoso,Economy
770,Contoso ADSL Modem Splitter/Filter X 3 E300 Black,Contoso,Economy
771,Contoso USB Wave Multi-media Keyboard E280 Black,Contoso,Economy
772,Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Black,Contoso,Economy
773,Contoso USB Wave Multi-media Keyboard E280 Blue,Contoso,Economy
774,Contoso USB Optical Mouse E200 Blue,Contoso,Economy
777,Contoso Reserve Pen -Tablet Pen E200 Blue,Contoso,Economy
778,Contoso Rechargeable Battery E100 White,Contoso,Economy
779,Contoso Dual USB Power Adapter - power adapter E300 White,Contoso,Economy
782,Contoso Mouse Lock Bundle E200 White,Contoso,Economy
783,Contoso Education Supplies Bundle E200 White,Contoso,Economy
786,Contoso Desktop Alternative Bundle E200 White,Contoso,Economy
787,Contoso Power Inverter - DC to AC power inverter E900 White,Contoso,Economy
789,Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 White,Contoso,Economy
790,Contoso Home/Office Laptop Power Adapter E300 White,Contoso,Economy
794,Contoso 90W AC/DC Power Adapter E300 White,Contoso,Economy
795,Contoso Reserve Pen - Tablet Pen E200 White,Contoso,Economy
796,Contoso USB Data Link - direct connect adapter E600 White,Contoso,Economy
797,Contoso Primary Extended Capacity Battery Pack - notebook battery X100 White,Contoso,Deluxe
799,Contoso Leather Case - case for digital photo camera X20 White,Contoso,Deluxe
800,Contoso Lens cap E80 White,Contoso,Economy
801,Contoso Battery charger - bike E200 White,Contoso,Economy
802,Contoso USB Optical Mouse E200 White,Contoso,Economy
803,Contoso ADSL Modem Splitter/Filter X 1 E100 White,Contoso,Economy
804,Contoso ADSL Modem Splitter/Filter X 2 E200 White,Contoso,Economy
805,Contoso ADSL Modem Splitter/Filter X 3 E300 White,Contoso,Economy
806,Contoso USB Wave Multi-media Keyboard E280 White,Contoso,Economy
807,Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 White,Contoso,Economy
808,Contoso Rechargeable Battery E100 Grey,Contoso,Economy
809,Contoso Dual USB Power Adapter - power adapter E300 Grey,Contoso,Economy
812,Contoso Mouse Lock Bundle E200 Grey,Contoso,Economy
813,Contoso Education Supplies Bundle E200 Grey,Contoso,Economy
816,Contoso Desktop Alternative Bundle E200 Grey,Contoso,Economy
817,Contoso Power Inverter - DC to AC power inverter E900 Grey,Contoso,Economy
819,Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 Grey,Contoso,Economy
820,Contoso Home/Office Laptop Power Adapter E300 Grey,Contoso,Economy
824,Contoso 90W AC/DC Power Adapter E300 Grey,Contoso,Economy
825,Contoso Reserve Pen - Tablet Pen E200 Grey,Contoso,Economy
826,Contoso USB Data Link - direct connect adapter E600 Grey,Contoso,Economy
827,Contoso Primary Extended Capacity Battery Pack - notebook battery X100 Grey,Contoso,Deluxe
829,Contoso Leather Case - case for digital photo camera X20 Grey,Contoso,Deluxe
830,Contoso Lens cap E80 Grey,Contoso,Economy
831,Contoso Battery charger - bike E200 Grey,Contoso,Economy
832,Contoso USB Optical Mouse E200 Grey,Contoso,Economy
833,Contoso ADSL Modem Splitter/Filter X 1 E100 Grey,Contoso,Economy
834,Contoso ADSL Modem Splitter/Filter X 2 E200 Grey,Contoso,Economy
835,Contoso ADSL Modem Splitter/Filter X 3 E300 Grey,Contoso,Economy
836,Contoso USB Wave Multi-Media Keyboard E280 Grey,Contoso,Economy
837,Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Grey,Contoso,Economy
838,Contoso USB Optical Mouse E200 Gold,Contoso,Economy
841,Contoso Reserve Pen - Tablet Pen E200 Gold,Contoso,Economy
37,Contoso 8GB Clock & Radio MP3 Player X850 Silver,Contoso,Deluxe
39,Contoso 8GB Clock & Radio MP3 Player X850 Green,Contoso,Deluxe
40,Contoso 8GB Clock & Radio MP3 Player X850 Blue,Contoso,Deluxe
1290,Contoso Macro Zoom Lens X300 Silver,Contoso,Deluxe
1291,Contoso Macro Zoom Lens X300 White,Contoso,Deluxe
1292,Contoso Macro Zoom Lens X300 Black,Contoso,Deluxe
1293,Contoso Telephoto Conversion Lens X400 Silver,Contoso,Deluxe
1294,Contoso Telephoto Conversion Lens X400 White,Contoso,Deluxe
1295,Contoso Telephoto Conversion Lens X400 Black,Contoso,Deluxe
2512,Contoso Bluetooth Active Headphones L15 Black,Contoso,Deluxe
2513,Contoso Bluetooth Active Headphones L15 Red,Contoso,Deluxe
2514,Contoso Bluetooth Active Headphones L15 White,Contoso,Deluxe
38,Contoso 8GB Clock & Radio MP3 Player X850 Black,Contoso,Deluxe
575,Contoso Projector 1080p X980 Black,Contoso,Deluxe
576,Contoso Projector 1080p X981 Black,Contoso,Deluxe
587,Contoso Projector 1080p X980 White,Contoso,Deluxe
588,Contoso Projector 1080p X981 White,Contoso,Deluxe
599,Contoso Projector 1080p X980 Silver,Contoso,Deluxe
600,Contoso Projector 1080p X981 Silver,Contoso,Deluxe
1076,Contoso SLR Camera X142 Black,Contoso,Deluxe
1080,Contoso SLR Camera X143 Silver,Contoso,Deluxe
1084,Contoso SLR Camera X143 Grey,Contoso,Deluxe
1088,Contoso SLR Camera X144 Silver Grey,Contoso,Deluxe
1092,Contoso SLR Camera X144 Gold,Contoso,Deluxe
1096,Contoso SLR Camera X145 Pink,Contoso,Deluxe
1100,Contoso SLR Camera X145 Blue,Contoso,Deluxe
1326,Contoso Centrex Phone System L10 Black,Contoso,Deluxe
1327,Contoso In front of Centrex L15 Black,Contoso,Deluxe
1328,Contoso behind Centrex X15 Black,Contoso,Deluxe
1342,Contoso Integrated Business Phone With card L10 Black,Contoso,Deluxe
1343,Contoso Integrated Business Phone L08 Black,Contoso,Deluxe
1359,Contoso Centrex Phone System L10 White,Contoso,Deluxe
1360,Contoso In front of Centrex L15 White,Contoso,Deluxe
1361,Contoso Behind Centrex X15 White,Contoso,Deluxe
1375,Contoso Integrated Business Phone With card L10 White,Contoso,Deluxe
1376,Contoso Integrated Business Phone L08 White,Contoso,Deluxe
1392,Contoso Centrex Phone System L10 Grey,Contoso,Deluxe
1393,Contoso In front of Centrex L15 Grey,Contoso,Deluxe
1394,Contoso behind Centrex X15 Grey,Contoso,Deluxe
1622,Contoso DVD Recorder L200 Black,Contoso,Deluxe
1623,Contoso DVD Recorder L210 Silver,Contoso,Deluxe
1624,Contoso DVD Recorder L220 White,Contoso,Deluxe
1625,Contoso DVD Recorder L230 Grey,Contoso,Deluxe
1626,Contoso DVD Recorder L240 Gold,Contoso,Deluxe
1630,Contoso DVD 60 DVD Storage Binder L20 Black,Contoso,Deluxe
1635,Contoso DVD 60 DVD Storage Binder L20 Silver,Contoso,Deluxe
1640,Contoso DVD 60 DVD Storage Binder L20 Red,Contoso,Deluxe
1649,Contoso DVD 14-Inch Player Portable L100 Black,Contoso,Deluxe
1650,Contoso DVD 15-Inch Player Portable L200 Black,Contoso,Deluxe
1654,Contoso DVD 14-Inch Player Portable L100 Silver,Contoso,Deluxe
1655,Contoso DVD 15-Inch Player Portable L200 Silver,Contoso,Deluxe
1659,Contoso DVD 14-Inch Player Portable L100 White,Contoso,Deluxe
1660,Contoso DVD 15-Inch Player Portable L200 White,Contoso,Deluxe
1867,Contoso Washer & Dryer 27in L270 White,Contoso,Deluxe
1872,Contoso Washer & Dryer 27in L270 Silver,Contoso,Deluxe
1877,Contoso Washer & Dryer 27in L270 Blue,Contoso,Deluxe
1882,Contoso Washer & Dryer 27in L270 Green,Contoso,Deluxe
1887,Contoso Washer & Dryer 27in L270 Red,Contoso,Deluxe
2055,Contoso Microwave 1.5CuFt X0110 White,Contoso,Deluxe
2061,Contoso Microwave 1.5CuFt X0110 Silver,Contoso,Deluxe
2067,Contoso Microwave 1.5CuFt X0110 Grey,Contoso,Deluxe
2073,Contoso Microwave 1.5CuFt X0110 Red,Contoso,Deluxe
2079,Contoso Microwave 1.5CuFt X0110 Black,Contoso,Deluxe
2085,Contoso Water Heater 7.2GPM X1800 White,Contoso,Deluxe
2090,Contoso Water Heater 7.2GPM X1800 Blue,Contoso,Deluxe
2095,Contoso Water Heater 7.2GPM X1800 Green,Contoso,Deluxe
2100,Contoso Water Heater 7.2GPM X1800 Silver,Contoso,Deluxe
2105,Contoso Water Heater 7.2GPM X1800 Grey,Contoso,Deluxe
2110,Contoso Water Heater 7.2GPM X1800 Red,Contoso,Deluxe
2116,Contoso Coffee Maker Super-Auto 12C X1250 Black,Contoso,Deluxe
2122,Contoso Coffee Maker Super-Auto 12C X1250 Silver,Contoso,Deluxe
2128,Contoso Coffee Maker Super-Auto 12C X1250 White,Contoso,Deluxe
2134,Contoso Coffee Maker Super-Auto 12C X1250 Grey,Contoso,Deluxe
2348,Contoso Air conditioner 25000BTU L1672 White,Contoso,Deluxe
2355,Contoso Air conditioner 25000BTU L1672 Red,Contoso,Deluxe
2362,Contoso Air conditioner 25000BTU L1672 Silver,Contoso,Deluxe
2369,Contoso Air conditioner 25000BTU L1672 Grey,Contoso,Deluxe
2376,Contoso Air conditioner 25000BTU L1672 Blue,Contoso,Deluxe
1257,Contoso Cyber Shot Digital Cameras Adapter E306 Pink,Contoso,Economy
1311,Contoso Digital Camera/Camcorder USB Cable E324 White,Contoso,Economy
2495,Headphone Adapter for Contoso Phone E130 Black,Contoso,Economy
2496,Headphone Adapter for Contoso Phone E130 Silver,Contoso,Economy
2497,Headphone Adapter for Contoso Phone E130 White,Contoso,Economy
1258,Contoso Cyber Shot Digital Cameras Adapter E306 Blue,Contoso,Economy
1263,Contoso Rechargeable Battery Pack E310 Silver,Contoso,Economy
1275,Contoso Digital Cameras Lightweight Tripod E316 Black,Contoso,Economy
1276,Contoso Digital Cameras Lightweight Tripod E316 Pink,Contoso,Economy
2506,Contoso Rubberized Snap-On Cover Hard Case Cell Phone Protector E160 Pink,Contoso,Economy
2507,Contoso Rubberized Snap-On Cover Hard Case Cell Phone Protector E160 White,Contoso,Economy
2508,Contoso Rubberized Snap-On Cover Hard Case Cell Phone Protector E160 Silver,Contoso,Economy
2494,Reusable Phone Screen Protector E120,Contoso,Economy
1,Contoso 512MB MP3 Player E51 Silver,Contoso,Economy
2,Contoso 512MB MP3 Player E51 Blue,Contoso,Economy
3,Contoso 1G MP3 Player E100 White,Contoso,Economy
4,Contoso 2G MP3 Player E200 Silver,Contoso,Economy
5,Contoso 2G MP3 Player E200 Red,Contoso,Economy
6,Contoso 2G MP3 Player E200 Black,Contoso,Economy
7,Contoso 2G MP3 Player E200 Blue,Contoso,Economy
8,Contoso 4G MP3 Player E400 Silver,Contoso,Economy
9,Contoso 4G MP3 Player E400 Black,Contoso,Economy
10,Contoso 4G MP3 Player E400 Green,Contoso,Economy
11,Contoso 4G MP3 Player E400 Orange,Contoso,Economy
12,Contoso 4GB Flash MP3 Player E401 Blue,Contoso,Economy
13,Contoso 4GB Flash MP3 Player E401 Black,Contoso,Economy
14,Contoso 4GB Flash MP3 Player E401 Silver,Contoso,Economy
15,Contoso 4GB Flash MP3 Player E401 White,Contoso,Economy
1247,Contoso Rechargeable Li-Ion Battery Pack E300 Silver,Contoso,Economy
1248,Contoso Rechargeable Li-Ion Battery Pack E300 Black,Contoso,Economy
1249,Contoso Rechargeable Li-Ion Battery Pack E300 White,Contoso,Economy
1250,Contoso Travel Charger for S-Series Battery E302 Silver,Contoso,Economy
1251,Contoso Travel Charger for S-Series Battery E302 Black,Contoso,Economy
1252,Contoso Travel Charger for S-Series Battery E302 White,Contoso,Economy
1253,Contoso General Carrying Case E304 Silver,Contoso,Economy
1254,Contoso General Carrying Case E304 Black,Contoso,Economy
1255,Contoso General Carrying Case E304 White,Contoso,Economy
1256,Contoso General Carrying Case E304 Blue,Contoso,Economy
1259,Contoso Cyber Shot Digital Cameras Adapter E306 Black,Contoso,Economy
1260,Contoso Multi-Use Terminal Cable E308 Silver,Contoso,Economy
1261,Contoso Multi-Use Terminal Cable E308 White,Contoso,Economy
1262,Contoso Multi-Use Terminal Cable E308 Black,Contoso,Economy
1264,Contoso Rechargeable Battery Pack E310 Black,Contoso,Economy
1265,Contoso Rechargeable Battery Pack E310 White,Contoso,Economy
1266,Contoso Carrying Case E312 Silver,Contoso,Economy
1267,Contoso Carrying Case E312 Pink,Contoso,Economy
1268,Contoso Carrying Case E312 White,Contoso,Economy
1269,Contoso Carrying Case E312 Blue,Contoso,Economy
1270,Contoso Lens Cap Keeper E314 Pink,Contoso,Economy
1271,Contoso Lens Cap Keeper E314 Yellow,Contoso,Economy
1272,Contoso Lens Cap Keeper E314 White,Contoso,Economy
1273,Contoso Lens Cap Keeper E314 Silver,Contoso,Economy
1274,Contoso Digital Cameras Lightweight Tripod E316 White,Contoso,Economy
1277,Contoso Digital Cameras Lightweight Tripod E316 Silver,Contoso,Economy
1278,Contoso General Soft Carrying Case E318 Blue,Contoso,Economy
1279,Contoso General Soft Carrying Case E318 Black,Contoso,Economy
1280,Contoso General Soft Carrying Case E318 Silver,Contoso,Economy
1281,Contoso General Soft Carrying Case E318 White,Contoso,Economy
1282,Contoso Mini Battery Charger Kit E320 Red,Contoso,Economy
1283,Contoso Mini Battery Charger Kit E320 White,Contoso,Economy
1284,Contoso Mini Battery Charger Kit E320 Black,Contoso,Economy
1285,Contoso Mini Battery Charger Kit E320 Silver,Contoso,Economy
1286,Contoso Genuine Leather Grip Belt E322 Black,Contoso,Economy
1287,Contoso Genuine Leather Grip Belt E322 White,Contoso,Economy
1288,Contoso Genuine Leather Grip Belt E322 Silver,Contoso,Economy
1289,Contoso Genuine Leather Grip Belt E322 Grey,Contoso,Economy
1308,Contoso Digital Camera/Camcorder USB Cable E324 Purple,Contoso,Economy
1309,Contoso Digital Camera/Camcorder USB Cable E324 Black,Contoso,Economy
1310,Contoso Digital Camera/Camcorder USB Cable E324 Silver,Contoso,Economy
1465,Contoso Finger Touch Screen Phones M30 Black,Contoso,Economy
1468,Contoso Touch Screen Phones - CRT M11 Black,Contoso,Economy
2488,Contoso Rubberized Skin BlackBerry E100 Black,Contoso,Economy
2489,Contoso Rubberized Skin BlackBerry E100 Silver,Contoso,Economy
2490,Contoso Rubberized Skin BlackBerry E100 White,Contoso,Economy
2491,Cigarette Lighter Adapter for Contoso Phones E110 Black,Contoso,Economy
2492,Cigarette Lighter Adapter for Contoso Phones E110 White,Contoso,Economy
2493,Cigarette Lighter Adapter for Contoso Phones E110 Red,Contoso,Economy
2498,Contoso Phone Tough Skin Case E140 Black,Contoso,Economy
2499,Contoso Phone Tough Skin Case E140 White,Contoso,Economy
2500,Contoso Phone Tough Skin Case E140 Silver,Contoso,Economy
2501,Contoso Phone Tough Skin Case E140 Pink,Contoso,Economy
2502,Contoso Touch Stylus Pen E150 Black,Contoso,Economy
2503,Contoso Touch Stylus Pen E150 Silver,Contoso,Economy
2504,Contoso Touch Stylus Pen E150 White,Contoso,Economy
2505,Contoso Touch Stylus Pen E150 Red,Contoso,Economy
2509,Contoso Original K1m Li-Ion Standard Battery E170 Black,Contoso,Economy
2510,Contoso Original K1m Li-Ion Standard Battery E170 White,Contoso,Economy
2511,Contoso Original K1m Li-Ion Standard Battery E170 Silver,Contoso,Economy
2515,Contoso In-Line Coupler E180 White,Contoso,Economy
2516,Contoso In-Line Coupler E180 Black,Contoso,Economy
2517,Contoso In-Line Coupler E180 Silver,Contoso,Economy
240,Contoso Home Theater System 2.1 Channel E1200 Black,Contoso,Economy
249,Contoso Home Theater System 2.1 Channel E1220 Black,Contoso,Economy
253,Contoso Home Theater System 2.1 Channel E1200 Silver,Contoso,Economy
262,Contoso Home Theater System 2.1 Channel E1220 Silver,Contoso,Economy
266,Contoso Home Theater System 2.1 Channel E1200 White,Contoso,Economy
275,Contoso Home Theater System 2.1 Channel E1220 White,Contoso,Economy
279,Contoso Home Theater System 2.1 Channel E1200 Brown,Contoso,Economy
288,Contoso Home Theater System 2.1 Channel E1220 Brown,Contoso,Economy
584,Contoso Screen 100in E010 Black,Contoso,Economy
585,Contoso Screen 85in E085 Black,Contoso,Economy
586,Contoso Screen 80in E080 Black,Contoso,Economy
596,Contoso Screen 100in E010 White,Contoso,Economy
597,Contoso Screen 85in E085 White,Contoso,Economy
598,Contoso Screen 80in E080 White,Contoso,Economy
608,Contoso Screen 100in E010 Silver,Contoso,Economy
609,Contoso Screen 85in E085 Silver,Contoso,Economy
610,Contoso Screen 80in E080 Silver,Contoso,Economy
1078,Contoso SLR Camera M142 Black,Contoso,Economy
1082,Contoso SLR Camera M143 Silver,Contoso,Economy
1086,Contoso SLR Camera M143 Grey,Contoso,Economy
1106,Contoso SLR Camera M146 Orange,Contoso,Economy
1316,Contoso Single-line phones E10 Black,Contoso,Economy
1317,Contoso Dual Handset Cordless Phone System  E20 Black,Contoso,Economy
1318,Contoso 3 Handset Cordless Phone System  E30 Black,Contoso,Economy
1340,Contoso Phone with Memory Dialing-single line E88 Black,Contoso,Economy
1341,Contoso Phone with Memory Dialing-2 lines E90 Black,Contoso,Economy
1344,Contoso Phone for MSN E200 Black,Contoso,Economy
1349,Contoso Single-line phones E10 White,Contoso,Economy
1350,Contoso Dual Handset Cordless Phone System E20 White,Contoso,Economy
1351,Contoso 3 Handset Cordless Phone System E30 White,Contoso,Economy
1373,Contoso Phone with Memory Dialing-single line E88 White,Contoso,Economy
1374,Contoso Phone with Memory Dialing-2 lines E90 White,Contoso,Economy
1377,Contoso Phone for MSN E200 White,Contoso,Economy
1382,Contoso Single-line phones E10 Grey,Contoso,Economy
1383,Contoso Dual Handset Cordless Phone System E20 Grey,Contoso,Economy
1384,Contoso 3 Handset Cordless Phone System E30 Grey,Contoso,Economy
1406,Contoso Phone with Memory Dialing-single line E88 Grey,Contoso,Economy
1407,Contoso Phone with Memory Dialing-2 lines E90 Grey,Contoso,Economy
1469,Contoso Touch Screen Phones  - LCD M12 Black,Contoso,Economy
1621,Contoso DVD Movies E100 Yellow,Contoso,Economy
1629,Contoso DVD 38 DVD Storage Binder E25 Black,Contoso,Economy
1634,Contoso DVD 38 DVD Storage Binder E25 Silver,Contoso,Economy
1639,Contoso DVD 38 DVD Storage Binder E25 Red,Contoso,Economy
1648,Contoso DVD 7-Inch Player Portable E200 Black,Contoso,Economy
1653,Contoso DVD 7-Inch Player Portable E200 Silver,Contoso,Economy
1658,Contoso DVD 7-Inch Player Portable E200 White,Contoso,Economy
1871,Contoso Washer & Dryer 15.5in E155 White,Contoso,Economy
1876,Contoso Washer & Dryer 15.5in E155 Silver,Contoso,Economy
1881,Contoso Washer & Dryer 15.5in E155 Blue,Contoso,Economy
1886,Contoso Washer & Dryer 15.5in E155 Green,Contoso,Economy
1891,Contoso Washer & Dryer 15.5in E155 Red,Contoso,Economy
1896,Contoso Washer & Dryer 15.5in E155 Pink,Contoso,Economy
2059,Contoso Microwave 0.9CuFt E0090 White,Contoso,Economy
2060,Contoso Microwave 0.8CuFt E0080 White,Contoso,Economy
2065,Contoso Microwave 0.9CuFt E0090 Silver,Contoso,Economy
2066,Contoso Microwave 0.8CuFt E0080 Silver,Contoso,Economy
2071,Contoso Microwave 0.9CuFt E0090 Grey,Contoso,Economy
2072,Contoso Microwave 0.8CuFt E0080 Grey,Contoso,Economy
2077,Contoso Microwave 0.9CuFt E0090 Red,Contoso,Economy
2078,Contoso Microwave 0.8CuFt E0080 Red,Contoso,Economy
2083,Contoso Microwave 0.9CuFt E0090 Black,Contoso,Economy
2084,Contoso Microwave 0.8CuFt E0080 Black,Contoso,Economy
2089,Contoso Water Heater 1.5GPM E0800 White,Contoso,Economy
2094,Contoso Water Heater 1.5GPM E0800 Blue,Contoso,Economy
2099,Contoso Water Heater 1.5GPM E0800 Green,Contoso,Economy
2104,Contoso Water Heater 1.5GPM E0800 Silver,Contoso,Economy
2109,Contoso Water Heater 1.5GPM E0800 Grey,Contoso,Economy
2114,Contoso Water Heater 1.5GPM E0800 Red,Contoso,Economy
2119,Contoso Coffee Maker Auto 5C E0900 Black,Contoso,Economy
2120,Contoso Coffee Maker 5C E0900 Black,Contoso,Economy
2121,Contoso Coffee Maker 4C E0800 Black,Contoso,Economy
2125,Contoso Coffee Maker Auto 5C E0900 Silver,Contoso,Economy
2126,Contoso Coffee Maker 5C E0900 Silver,Contoso,Economy
2127,Contoso Coffee Maker 4C E0800 Silver,Contoso,Economy
2131,Contoso Coffee Maker Auto 5C E0900 White,Contoso,Economy
2132,Contoso Coffee Maker 5C E0900 White,Contoso,Economy
2133,Contoso Coffee Maker 4C E0800 White,Contoso,Economy
2137,Contoso Coffee Maker Auto 5C E0900 Grey,Contoso,Economy
2138,Contoso Coffee Maker 5C E0900 Grey,Contoso,Economy
2139,Contoso Coffee Maker 4C E0800 Grey,Contoso,Economy
2353,Contoso Air conditioner 6000BTU E0180 White,Contoso,Economy
2354,Contoso Air conditioner 5200BTU E0100 White,Contoso,Economy
2360,Contoso Air conditioner 6000BTU E0180 Red,Contoso,Economy
2361,Contoso Air conditioner 5200BTU E0100 Red,Contoso,Economy
2367,Contoso Air conditioner 6000BTU E0180 Silver,Contoso,Economy
2368,Contoso Air conditioner 5200BTU E0100 Silver,Contoso,Economy
